EmployeeID,RegionDescription,CompanyName,Year,Month,Total Quantity,Total Sales
4,Eastern                                           ,Alfreds Futterkiste,1997,October,41,1208
6,Western                                           ,Alfreds Futterkiste,1997,August,38,814.5
3,Southern                                          ,Ana Trujillo Emparedados y helados,1997,August,18,479.75
3,Southern                                          ,Ana Trujillo Emparedados y helados,1997,November,10,320
1,Eastern                                           ,Antonio Moreno Taquería,1997,September,38,813.3649943
7,Western                                           ,Antonio Moreno Taquería,1997,April,30,749.0624947
7,Western                                           ,Antonio Moreno Taquería,1997,June,83,2082
3,Southern                                          ,Antonio Moreno Taquería,1997,September,64,375.5
4,Eastern                                           ,Antonio Moreno Taquería,1997,May,80,1940.849997
3,Southern                                          ,Around the Horn,1997,December,103,1668.1
1,Eastern                                           ,Around the Horn,1997,November,28,319.1999997
4,Eastern                                           ,Around the Horn,1997,October,89,1640.999997
1,Eastern                                           ,Around the Horn,1997,February,40,407.6999993
1,Eastern                                           ,Around the Horn,1997,June,96,2142.9
4,Eastern                                           ,Around the Horn,1997,November,15,227.9999992
6,Western                                           ,B's Beverages,1997,July,10,493
4,Eastern                                           ,B's Beverages,1997,June,26,477
3,Southern                                          ,B's Beverages,1997,March,27,386.2
6,Western                                           ,B's Beverages,1997,May,44,355.5
2,Eastern                                           ,B's Beverages,1997,March,50,1328
9,Northern                                          ,B's Beverages,1997,May,8,139.8
3,Southern                                          ,Berglunds snabbköp,1997,February,84,1206.6
1,Eastern                                           ,Berglunds snabbköp,1997,May,87,3192.65
3,Southern                                          ,Berglunds snabbköp,1997,December,10,96.5
1,Eastern                                           ,Berglunds snabbköp,1997,October,35,472.5
5,Eastern                                           ,Berglunds snabbköp,1997,September,38,601.829999
1,Eastern                                           ,Berglunds snabbköp,1997,November,61,1459
9,Northern                                          ,Berglunds snabbköp,1997,September,27,3815.249994
3,Southern                                          ,Berglunds snabbköp,1997,June,87,1501.084999
1,Eastern                                           ,Berglunds snabbköp,1997,August,52,1503.6
4,Eastern                                           ,Blauer See Delikatessen,1997,April,3,136.8
9,Northern                                          ,Blauer See Delikatessen,1997,April,20,149
8,Northern                                          ,Blauer See Delikatessen,1997,July,27,464
3,Southern                                          ,Blauer See Delikatessen,1997,June,18,330
3,Southern                                          ,Blondesddsl père et fils,1997,February,168,3832.719997
6,Western                                           ,Blondesddsl père et fils,1997,June,30,520.4099996
4,Eastern                                           ,Blondesddsl père et fils,1997,August,25,450
4,Eastern                                           ,Blondesddsl père et fils,1997,June,50,593.7499995
9,Northern                                          ,Blondesddsl père et fils,1997,June,63,1760.999989
8,Northern                                          ,Blondesddsl père et fils,1997,September,12,660
3,Southern                                          ,Bon app',1997,November,20,360
4,Eastern                                           ,Bon app',1997,November,99,1948.5
4,Eastern                                           ,Bon app',1997,April,110,2549.999982
4,Eastern                                           ,Bon app',1997,March,53,1820.8
1,Eastern                                           ,Bon app',1997,May,45,818.3999996
3,Southern                                          ,Bon app',1997,October,51,1296
5,Eastern                                           ,Bon app',1997,November,28,484.2624996
2,Eastern                                           ,Bon app',1997,September,80,1930.399998
3,Southern                                          ,Bottom-Dollar Markets,1997,January,65,802
3,Southern                                          ,Bottom-Dollar Markets,1997,November,105,3118
4,Eastern                                           ,Bottom-Dollar Markets,1997,January,130,1892.25
3,Southern                                          ,Bottom-Dollar Markets,1997,April,80,851.1999993
9,Northern                                          ,Bottom-Dollar Markets,1997,January,74,966.7999964
4,Eastern                                           ,Bólido Comidas preparadas,1997,December,60,3026.85
9,Northern                                          ,Cactus Comidas para llevar,1997,December,1,12.5
8,Northern                                          ,Cactus Comidas para llevar,1997,April,19,225.5
7,Western                                           ,Chop-suey Chinese,1997,November,70,1890.499999
1,Eastern                                           ,Chop-suey Chinese,1997,November,83,2311.7
6,Western                                           ,Chop-suey Chinese,1997,April,66,2314.199999
4,Eastern                                           ,Comércio Mineiro,1997,April,30,912
4,Eastern                                           ,Comércio Mineiro,1997,March,15,216
8,Northern                                          ,Consolidated Holdings,1997,February,32,631.6
2,Eastern                                           ,Consolidated Holdings,1997,March,22,156
8,Northern                                          ,Die Wandernde Kuh,1997,August,50,588.9999995
4,Eastern                                           ,Die Wandernde Kuh,1997,August,35,708.75
8,Northern                                          ,Die Wandernde Kuh,1997,September,32,397.8
7,Western                                           ,Die Wandernde Kuh,1997,April,105,1941.999993
1,Eastern                                           ,Die Wandernde Kuh,1997,September,27,625.274999
7,Western                                           ,Drachenblut Delikatessen,1997,December,20,420
2,Eastern                                           ,Du monde entier,1997,September,9,63
7,Western                                           ,Du monde entier,1997,July,19,424
4,Eastern                                           ,Eastern Connection,1997,November,30,655
7,Western                                           ,Eastern Connection,1997,May,39,796.35
1,Eastern                                           ,Eastern Connection,1997,January,86,3063
2,Eastern                                           ,Ernst Handel,1997,July,215,4725
4,Eastern                                           ,Ernst Handel,1997,October,108,3436.443498
4,Eastern                                           ,Ernst Handel,1997,January,286,5754.214981
6,Western                                           ,Ernst Handel,1997,December,150,2285.999996
8,Northern                                          ,Ernst Handel,1997,December,100,2158
9,Northern                                          ,Ernst Handel,1997,December,16,344
7,Western                                           ,Ernst Handel,1997,September,59,1536.799994
8,Northern                                          ,Ernst Handel,1997,January,125,2713.5
3,Southern                                          ,Ernst Handel,1997,February,170,1792
3,Southern                                          ,Ernst Handel,1997,April,233,8623.45
8,Northern                                          ,Ernst Handel,1997,June,39,550.5874961
1,Eastern                                           ,Ernst Handel,1997,December,285,8665.674992
7,Western                                           ,Ernst Handel,1997,August,164,5510.592461
5,Eastern                                           ,Familia Arquibaldo,1997,August,85,1779.199999
4,Eastern                                           ,Familia Arquibaldo,1997,October,22,287.8
7,Western                                           ,Familia Arquibaldo,1997,April,37,525.2999963
2,Eastern                                           ,Familia Arquibaldo,1997,January,68,224.8299999
3,Southern                                          ,Familia Arquibaldo,1997,June,50,309.9999988
1,Eastern                                           ,Folies gourmandes,1997,December,93,3687
6,Western                                           ,Folies gourmandes,1997,March,42,756
4,Eastern                                           ,Folies gourmandes,1997,August,102,4985.5
8,Northern                                          ,Folies gourmandes,1997,January,51,1622.4
3,Southern                                          ,Folies gourmandes,1997,December,66,616
4,Eastern                                           ,Folk och fä HB,1997,December,52,868.75
3,Southern                                          ,Folk och fä HB,1997,December,134,4337
2,Eastern                                           ,Folk och fä HB,1997,June,60,2844.5
8,Northern                                          ,Folk och fä HB,1997,February,25,176.1
6,Western                                           ,Folk och fä HB,1997,October,75,2545
8,Northern                                          ,Folk och fä HB,1997,May,98,2222.199999
3,Southern                                          ,Folk och fä HB,1997,February,24,321.1199985
1,Eastern                                           ,France restauration,1997,September,32,920.1
1,Eastern                                           ,Franchi S.p.A.,1997,October,10,93.5
2,Eastern                                           ,Franchi S.p.A.,1997,January,2,49.8
3,Southern                                          ,Franchi S.p.A.,1997,November,9,88
4,Eastern                                           ,Franchi S.p.A.,1997,December,1,18.4
1,Eastern                                           ,Frankenversand,1997,October,72,1270.749999
4,Eastern                                           ,Frankenversand,1997,September,192,2301.75
6,Western                                           ,Frankenversand,1997,December,34,1829.756999
5,Eastern                                           ,Frankenversand,1997,September,70,1423
8,Northern                                          ,Frankenversand,1997,August,94,1336.949999
8,Northern                                          ,Frankenversand,1997,June,35,1072.425
8,Northern                                          ,Frankenversand,1997,March,50,1511.999999
1,Eastern                                           ,Frankenversand,1997,September,50,1083.149998
4,Eastern                                           ,Furia Bacalhau e Frutos do Mar,1997,May,100,1677.299994
8,Northern                                          ,Furia Bacalhau e Frutos do Mar,1997,March,22,259.5049982
4,Eastern                                           ,Furia Bacalhau e Frutos do Mar,1997,March,69,1609.279996
1,Eastern                                           ,Furia Bacalhau e Frutos do Mar,1997,September,51,1288.387491
1,Eastern                                           ,Furia Bacalhau e Frutos do Mar,1997,July,16,230.8499996
1,Eastern                                           ,GROSELLA-Restaurante,1997,December,20,387.5
4,Eastern                                           ,Galería del gastrónomo,1997,January,12,338.2
3,Southern                                          ,Galería del gastrónomo,1997,June,5,155
4,Eastern                                           ,Godos Cocina Típica,1997,August,29,2775.05
7,Western                                           ,Godos Cocina Típica,1997,May,34,683.299999
